256 1024
0	2
0	3
0	4
0	14
0	16
0	17
0	22
0	25
0	30
0	32
0	34
0	37
0	40
0	46
0	48
0	49
0	72
0	75
0	93
0	99
0	108
0	128
0	148
0	160
0	163
0	182
0	195
0	228
0	230
1	2
1	3
1	4
1	10
1	19
1	20
1	49
1	56
1	64
1	75
1	80
1	88
1	114
1	116
1	130
1	160
1	170
1	175
1	176
1	193
1	203
1	216
2	0
2	1
2	4
2	6
2	18
2	38
2	45
2	57
2	65
2	66
2	67
2	88
2	129
2	131
2	134
2	140
2	176
2	195
2	214
3	24
3	30
3	36
3	52
3	70
3	121
3	128
3	140
3	160
3	170
4	0
4	5
4	12
4	21
4	32
4	36
4	49
4	52
4	67
4	72
4	86
4	88
4	108
4	128
4	130
4	137
4	144
4	146
4	160
4	174
4	184
4	195
4	196
4	202
4	210
4	228
4	232
5	8
5	16
5	22
5	37
5	42
5	96
5	147
5	153
5	228
5	229
6	1
6	2
6	3
6	12
6	40
6	43
6	47
6	66
6	71
6	72
6	96
6	98
6	105
6	112
6	171
6	172
6	185
7	64
7	78
7	86
7	139
7	148
8	1
8	3
8	14
8	16
8	21
8	37
8	40
8	47
8	48
8	55
8	57
8	61
8	80
8	86
8	97
8	128
8	133
8	138
8	141
8	145
8	164
8	166
9	2
9	7
9	8
9	65
9	93
9	98
9	113
9	136
9	189
9	200
10	0
10	4
10	9
10	17
10	21
10	32
10	40
10	98
10	138
10	152
10	200
10	226
10	250
11	4
11	6
11	44
11	51
11	71
11	156
12	2
12	3
12	11
12	34
12	42
12	48
12	129
12	132
12	186
13	0
13	2
13	3
13	16
13	147
14	5
14	13
14	15
14	16
14	26
14	48
14	64
14	68
14	163
14	192
15	8
16	0
16	12
16	22
16	26
16	48
16	50
16	66
16	72
16	87
16	128
16	130
16	136
16	147
16	168
16	194
17	41
17	48
17	64
17	100
17	130
17	137
17	164
17	168
18	0
18	10
18	33
18	34
18	70
18	137
18	144
18	145
18	150
18	198
19	0
19	4
19	129
19	188
19	197
20	19
20	33
20	48
20	50
20	80
20	89
21	10
21	18
21	24
21	152
21	232
21	244
22	1
22	5
23	3
24	8
24	12
24	14
24	19
24	43
24	96
24	142
24	152
24	161
24	180
25	0
25	5
25	44
25	55
25	66
25	168
26	30
26	67
26	163
26	196
26	229
27	88
27	160
27	255
28	9
28	37
28	44
28	66
28	79
28	129
28	231
28	252
29	35
29	107
29	208
29	210
30	16
30	22
30	52
30	66
30	113
30	226
32	4
32	21
32	58
32	64
32	65
32	96
32	128
32	143
32	173
32	177
32	186
32	212
33	0
33	15
33	17
33	64
33	75
33	76
33	86
33	114
33	132
33	144
33	160
33	161
33	240
33	241
34	0
34	2
34	8
34	48
34	91
34	131
34	154
34	161
34	175
34	177
34	182
34	196
34	210
34	240
35	1
35	138
35	140
35	169
35	176
35	189
35	214
36	21
36	64
36	65
36	67
36	72
36	76
36	96
36	153
36	164
36	218
37	84
37	132
38	5
38	34
38	52
38	104
38	192
38	209
39	0
39	10
39	49
40	21
40	24
40	72
40	80
40	136
40	211
41	9
41	17
41	34
41	108
41	116
41	218
42	1
42	32
42	40
42	64
42	106
42	192
43	7
44	32
44	35
44	42
44	128
44	137
44	192
45	96
46	5
46	160
47	109
47	192
48	0
48	16
48	32
48	56
48	131
48	226
49	2
49	9
49	18
49	69
50	8
50	16
50	52
50	78
50	81
50	164
50	233
51	166
51	176
52	0
52	1
52	9
52	17
52	46
52	85
52	135
53	49
55	37
55	140
55	171
56	40
56	77
56	98
56	101
56	207
57	226
58	0
