16384 133949
0 1 -6.03749022225887
0 2 5.384175650885156
0 4 0.7604989617943438
0 6 -6.364129210271409
0 8 9.745212182211048
0 9 9.058488591486114
0 10 9.228676054801955
0 12 -9.840499129436429
0 13 -6.303732250880547
0 16 6.771503269841489
0 17 -7.30679393113946
0 18 -1.3308662408395087
0 20 -2.0099312729210546
0 22 -9.92125060922974
0 24 -6.818404444028372
0 25 -3.944733535980056
0 32 -0.5443224222106036
0 33 8.148908118399426
0 35 -1.1790072359596024
0 36 7.008403146767538
0 48 -7.049971680136739
0 54 3.97613111610144
0 56 -2.27888795099493
0 57 -5.58728984039305
0 64 -9.059177306011783
0 65 6.057164237573236
0 68 6.668850923094251
0 72 6.336293415957645
0 88 -5.0237818169950055
0 89 9.719895480248976
0 91 -8.390004825415076
0 96 -1.8611062254965915
0 100 1.7946770416314273
0 101 -6.15996576271338
0 113 9.358775878390656
0 116 2.2209238804666214
0 120 -3.1558565154896634
0 121 -4.916152534734273
0 129 7.162491568952959
0 132 -2.757988502242452
0 134 -9.140711410959483
0 136 -1.2119158842450553
0 147 -7.999347870662508
0 154 0.9718142571248833
0 160 5.571602921819611
0 162 -9.637320632219135
0 176 -0.2562470188587156
0 180 9.411548075381294
0 186 1.091117305341756
0 192 -1.838635191007663
0 197 -6.215451540261392
0 200 4.14784581807422
0 201 -6.588876626377827
0 206 2.5379219166062263
0 209 -6.505302576869698
0 226 -8.314290068257344
0 229 1.69432188093257
0 257 -1.8022739325928647
0 262 7.7145781999265495
0 265 0.3066757160727178
0 267 -6.6743804766998815
0 276 -8.68964120848657
0 288 8.237605664310639
0 292 0.08740350957563336
0 296 -2.0031077516724256
0 298 -2.956229275748326
0 304 -1.5615263489143132
0 307 8.176980324890405
0 308 1.81130386361448
0 312 1.0041254263836485
0 314 -5.780486680282213
0 316 -8.02203248207287
0 324 -4.9573808939456026
0 327 1.903935135752084
0 336 -3.259291063260692
0 340 -8.929617983385405
0 345 5.491130259186061
0 348 7.656017864154961
0 352 7.742836359654536
0 360 -6.753873371130627
0 368 1.7292935508629697
0 388 8.396314562345225
0 392 2.5275560762166585
