8192 6710
0	2
0	65
0	81
0	100
0	135
0	166
0	295
0	400
0	406
0	437
0	526
0	1161
0	1184
0	1461
0	1473
0	1650
0	1664
0	1796
0	2050
0	2051
0	2059
0	2065
0	2095
0	2125
0	2196
0	2378
0	2740
0	3200
0	3264
0	3618
0	4552
0	4648
0	4705
0	4747
0	4753
0	5856
0	6194
0	6404
0	6802
0	7768
1	172
1	244
1	260
1	732
1	1049
1	1152
1	1173
1	1224
1	1744
1	3203
1	3220
1	4097
1	4226
1	4290
1	4384
1	5670
1	7458
2	21
2	33
2	49
2	416
2	1056
2	1074
2	1168
2	2084
2	3160
2	4373
2	4378
2	5531
2	6147
2	6224
2	6537
2	6668
3	73
3	264
3	528
3	1292
3	1540
3	1733
3	3112
3	5232
3	5388
3	7304
4	5
4	16
4	85
4	170
4	257
4	874
4	1056
4	1254
4	1410
4	1602
4	1684
4	2164
4	2386
4	2625
4	2659
4	3540
4	3651
4	4210
4	4339
4	4356
4	4776
4	5200
4	5633
4	5920
4	6440
4	7810
4	8002
5	8
5	20
5	304
5	795
5	1038
5	2080
5	3204
5	3290
5	4232
5	4388
5	5194
5	5648
5	6262
5	6400
5	6672
6	516
6	1099
6	1296
6	3264
6	3608
6	4352
6	5175
6	6468
6	6939
7	468
7	690
7	1444
7	2048
7	3168
7	4353
8	33
8	774
8	805
8	1352
8	1468
8	2052
8	2081
8	2593
8	3296
8	4677
8	4679
8	4881
8	5729
8	6146
8	6754
8	7381
8	7480
9	397
9	619
9	644
9	2305
9	4210
9	4716
10	444
10	1332
10	1409
10	1424
10	1696
10	2308
10	2915
10	4728
10	4894
10	5120
11	5664
12	166
12	404
12	519
12	1040
12	1287
12	1296
12	1813
12	4168
12	4240
12	7873
13	57
13	528
13	2607
14	516
14	704
14	1409
14	4174
14	4248
15	6400
15	7180
16	80
16	202
16	272
16	416
16	1358
16	1602
16	1732
16	2061
16	2066
16	2560
16	2585
16	2945
16	3318
16	4544
16	5377
16	6364
17	16
17	209
17	1037
17	1706
17	2471
17	2823
17	3352
17	4161
17	5340
17	6258
18	194
18	514
18	710
18	898
18	1748
18	4128
18	4170
18	5390
18	6918
19	186
19	2112
19	4114
19	5604
20	128
20	354
20	561
20	657
20	1869
20	2321
20	3072
20	3136
20	3291
20	3330
20	4168
20	6041
21	288
21	1672
21	2112
21	2360
21	5225
22	1142
22	2240
22	5689
22	5706
22	7813
23	128
24	161
24	333
24	792
24	1425
