8192 67100
0 1 2.933492853351203
0 3 3.2992521267865738
0 4 8.702005070448108
0 5 7.549558703482448
0 8 0.8437828604129161
0 16 7.890136222524708
0 17 6.864907641004924
0 21 6.999316662770879
0 23 2.2530611459185512
0 24 8.309447148380112
0 26 2.6692007769889994
0 29 7.6369077661526505
0 32 7.54272675736651
0 34 0.17800527366891417
0 38 5.393337392509299
0 40 9.760888946142396
0 42 1.0152549625363139
0 46 3.481419544549853
0 56 2.7780747100034087
0 58 0.8451349406050124
0 65 6.851219807606625
0 72 2.453233008583706
0 73 9.641394473228361
0 77 1.4330048689244534
0 78 8.228141403517018
0 82 2.8676866120650892
0 88 8.606646319387448
0 98 9.655634594933694
0 104 8.611320522989912
0 108 7.824030410313626
0 114 3.9693843111687066
0 115 4.11726239144746
0 129 9.436597051602234
0 131 4.219847878982842
0 132 2.4725459158047403
0 139 5.715661519872278
0 144 3.5153096484186697
0 147 7.389477476708781
0 150 7.716196821245179
0 154 1.4889357054146768
0 160 1.4009448627441845
0 161 5.095047796583824
0 182 2.9005077035795344
0 185 2.603483032911067
0 193 1.275177460137199
0 210 4.661779908322012
0 232 5.485820509831402
0 233 4.372555816267175
0 243 7.109658891002425
0 256 5.124189675494701
0 258 5.119398922693509
0 261 9.853892080064563
0 264 3.6658675910313154
0 269 9.229083619616077
0 290 8.256243052660887
0 296 4.648001849526676
0 297 0.3459109319518783
0 306 6.931821721114872
0 320 9.626454565715619
0 334 5.297049302635991
0 337 6.987929634479477
0 356 8.767905625767616
0 384 5.046917080799316
0 390 1.2037333058310495
0 393 6.5929998962346
0 396 2.7003543346504797
0 400 2.89925047492108
0 401 6.2341475676741265
0 488 9.82289177419759
0 512 5.1159246919965025
0 513 0.05306299434217565
0 515 6.112289425031383
0 524 1.7004573521606114
0 526 3.5001768210275
0 528 3.1138065793146774
0 530 2.4512187570268784
0 534 8.393961086095741
0 538 4.365468142225054
0 544 8.320561888083283
0 551 5.120659593737356
0 556 5.070310888903407
0 561 6.567337109614526
0 572 3.936624106606983
0 579 0.356939906816659
0 582 5.497494726389341
0 592 6.715565218065692
0 601 2.1383638469930153
0 640 2.249765605299414
0 645 1.6818577329586992
0 652 5.727604010477664
0 659 5.178312969850204
0 681 0.49594379185618376
0 691 5.707318044284171
0 743 5.909713801808937
0 771 4.166492783317257
0 804 8.983643681193803
0 808 6.886004288858447
0 831 2.6749972879079777
0 832 3.791236354826415
0 928 9.468795979874384
0 1015 5.3111110321106105
0 1025 3.507389648977881
0 1029 5.886699086376057
0 1033 4.7634762120874
0 1037 0.7015814914487273
0 1044 8.431152103097816
0 1051 8.97783819576224
0 1060 5.049589488336313
0 1063 8.661939291733628
0 1067 5.590957015424377
0 1074 3.5390728426054063
0 1078 2.0017277677044865
0 1091 0.854977249404959
0 1104 6.5097349395609605
0 1122 1.3971682505424077
0 1125 1.2996333457866072
0 1129 0.1876092569799337
0 1154 5.288883267318937
0 1155 9.859911520342239
0 1157 1.0968916765766124
0 1160 2.434220221367428
0 1161 9.54141637864325
0 1168 2.3029990367818454
0 1170 3.8757328997724896
0 1212 8.873733802204391
0 1216 6.66442074118053
0 1221 8.090917979203265
0 1239 2.6940405604197237
0 1249 2.2169791591511467
0 1282 6.307321608994255
0 1296 1.6814912832889528
0 1312 9.527480172481537
0 1316 3.807106518521012
0 1346 6.545155179847506
0 1348 3.4947357459618997
0 1367 4.443060569902543
0 1381 6.012958508973528
0 1384 5.009486058928736
0 1410 2.5144987729043953
0 1417 1.9268600225403554
0 1424 4.955492179486594
0 1489 6.474622809798159
0 1516 3.2485909222345355
0 1547 0.07843527320929855
0 1555 2.6233693415155024
0 1568 7.346029706863536
0 1649 8.745034374413365
0 1663 8.52846323072113
0 1665 5.700583931876771
0 1687 0.18704740947716902
0 1688 8.383319700375747
0 1707 2.895442949191386
0 1748 2.5822750923264204
0 1753 8.223141788845787
0 1760 2.936071753398309
0 1775 7.490551900109094
0 1843 7.420802228691347
0 1861 5.551889642050385
0 1862 0.9068404818552067
0 1863 1.0755852022911838
0 2048 9.555492111443126
0 2055 3.53707000271527
0 2056 9.934439990488134
0 2060 7.4024591409662985
0 2067 4.007711655056612
0 2068 7.935843967255548
0 2069 6.117225008585912
0 2091 1.9356429062835356
0 2098 6.6410965131215915
0 2103 9.190621290741769
0 2105 9.881273367256538
0 2119 0.3663869522026908
0 2127 1.0209458395707183
0 2134 3.4149439799881423
0 2141 7.0063754930044295
0 2175 3.1743083603891753
0 2182 3.1990945158044415
0 2195 7.407448372255204
0 2238 7.325345959013086
0 2247 2.086029043618164
0 2249 8.897153932586715
0 2265 5.9892117589166745
0 2276 0.5696742919283004
0 2324 9.764956007485916
0 2335 8.758713413455958
0 2351 0.14978581055275608
0 2399 3.741504567094116
0 2445 5.672341786087541
0 2464 9.540571479258674
0 2491 2.499206574240931
0 2543 2.614748308789725
0 2559 4.542569049480969
0 2561 3.6527640501886993
0 2563 1.0963364432571143
0 2567 9.473541670743423
0 2570 0.004476845146641484
0 2576 6.4155189697675095
0 2590 6.600635181245762
0 2594 8.41963472233547
0 2600 1.1731610840059803
0 2609 4.949075563618105
0 2633 4.681619284485508
0 2635 0.31660940481613387
0 2694 5.515765325215107
0 2702 0.23583269549565244
0 2723 3.456523912976391
0 2767 9.964686018206374
0 2831 4.182645154688015
0 2841 0.17937884067557697
0 2848 6.852037939005061
0 2919 7.610808951824724
0 2943 3.6473683191086304
0 2993 5.461542237854746
0 2995 9.210979081262028
0 3012 4.612629314963924
0 3085 9.1704264082096
0 3090 0.2081751652117514
0 3112 2.2817155329165653
0 3117 9.458824192380536
0 3136 2.8791758790893764
0 3233 9.135372215177439
0 3244 6.334805815524857
0 3328 1.6821985557202135
0 3359 1.4189480972222812
0 3472 0.7468812319347595
0 3584 0.2329041347943428
0 3598 4.785748934745638
0 3620 0.05010127014839494
0 3636 7.574263026635618
0 3647 7.150509458510346
0 3711 7.684032700315965
0 3713 4.042524666452779
0 3855 7.446227786552897
0 3872 3.629259072522064
0 3876 1.193714986748775
0 3975 6.081583995231919
0 3976 8.517134741295141
0 4095 7.816983711800907
0 4099 9.551532109144631
0 4101 2.0448318902954563
0 4103 2.3252526048896414
0 4110 3.353370183928855
0 4119 1.7577601279654131
0 4129 1.2066011522860576
0 4130 7.185214965917538
0 4133 2.386809457811383
0 4135 7.7869962569927385
0 4141 2.013945206803871
0 4154 3.8814625520954547
0 4159 4.096041673007247
0 4176 7.887732637097498
0 4211 9.504169743992417
0 4223 2.611695293114967
0 4224 6.5585743014504425
0 4230 8.103152170284257
0 4250 7.627753156709723
0 4251 3.574372345919863
0 4257 6.1973005464265
0 4269 2.1303988177292608
0 4333 9.669590833101815
0 4338 5.030945628828093
0 4351 9.301493549048136
0 4355 4.0766313034160495
0 4357 8.749983993177096
0 4364 2.5048092691493826
0 4386 9.883469197896689
0 4416 6.999846911265419
0 4423 6.788701370810918
0 4425 4.601524958768062
0 4479 1.3885075058986007
0 4485 2.411125330199849
0 4536 0.18386922489593394
0 4551 2.9058254920383906
0 4616 5.498043161995291
0 4623 6.5288927006747475
0 4632 9.26066248546347
0 4643 6.544411256460241
0 4647 7.295993401346232
0 4673 1.2341879706473835
0 4680 9.260863277436357
0 4687 9.714308209473316
0 4707 7.452317586142062
0 4752 1.2392187561563561
0 4762 7.067697567298338
0 4807 0.5015122064922761
0 4869 1.8235126198334994
0 4872 1.5494507017231385
0 4906 4.595872542318239
0 4913 5.255743587476789
0 4977 7.635664713415945
0 5050 1.293005032717125
0 5120 7.040342594285553
0 5124 1.324049206012834
0 5150 9.498111378656986
0 5175 0.22842012504802334
0 5185 9.214334611597852
0 5202 3.1952515697771045
0 5215 6.040439196044386
0 5236 5.7734666977050235
0 5247 0.2333329884867008
0 5252 9.95677139914944
0 5313 8.724599104295978
0 5400 0.5968457463889631
0 5415 1.8307925215086451
0 5487 4.485515742416398
0 5519 4.01161582170249
0 5520 2.880080290402751
0 5532 7.425007124284892
0 5626 6.596285686437621
0 5632 9.647595621514617
0 5659 8.10227819754112
0 5776 9.226289560570315
0 5791 4.459256905949895
0 5813 9.855674252495287
0 5855 8.57112196263484
0 5889 2.958613378078242
0 5969 3.8043731325435646
0 6003 7.52131279096896
0 6007 3.502833099340635
0 6029 3.791820037856964
0 6144 9.89187364336845
0 6151 2.877452970256037
0 6153 6.140341502065809
0 6154 0.9497284825153229
0 6176 3.52274497314621
0 6189 6.3728998655700515
0 6191 5.549835254509428
0 6209 0.016594322532961225
0 6285 6.5323933944766495
0 6288 2.3866974567608237
0 6339 9.778591974692127
0 6367 5.986482360515991
0 6384 1.064863405360098
0 6403 4.563317702279239
0 6407 5.085056229722166
0 6438 4.063286924346538
0 6450 6.514687849528014
0 6656 5.90770680101066
0 6689 9.597319638823269
0 6698 1.5489702430592767
0 6763 9.294931806200049
0 6778 1.4871716720308992
0 6784 0.16391912439209455
0 6785 8.605691000407091
0 6799 6.242570822011774
0 6817 5.218759214752422
0 6818 2.550675808670678
0 6823 0.657440708496444
0 6911 1.8984064589032124
0 6953 5.368533690681495
0 7177 2.4281253672933234
0 7193 7.100398638019918
0 7487 2.0544656615755486
0 7657 0.25125408592721166
0 7856 2.5147222276042824
0 7877 4.594129109498121
0 7940 4.312524847651662
1 0 0.76605745179123
1 4 2.103333347597486
1 6 1.7637897818501758
1 7 0.8300771161609533
1 11 5.826453690006767
1 16 3.026340602239237
1 18 1.077814161824996
1 19 9.00342828877255
1 64 6.678333803095644
1 65 4.017870619349949
1 74 2.5350509420940592
1 97 7.2216036567655015
1 114 8.795520417217336
1 115 6.251777067288544
1 128 3.872044118697816
1 135 0.006034329157869056
1 144 5.846568561896808
1 160 2.737477438178124
1 169 0.11224867413655693
1 172 3.6562733008999126
1 209 1.6520824794864641
1 260 6.723094991312984
1 266 4.020557771229836
1 272 6.2650519774526625
1 289 7.397163554900947
1 300 6.244043500206581
1 320 6.298126556240188
1 334 6.471429338637921
1 338 3.577485789673349
1 402 4.044050906840684
1 448 1.8844415299653672
1 450 2.90505461152758
1 515 5.320597583891954
1 519 8.293222088644676
1 533 3.907566785420711
1 535 2.9542416018868423
1 543 1.1948923446699389
1 576 3.0271426235782064
1 577 8.736000926540283
1 608 6.1255398608393605
1 616 9.163400725762397
1 625 8.690245781674133
1 653 5.998695809613741
1 705 8.404364165383424
1 706 2.770145975241239
1 709 8.768295318163942
1 767 2.3514648124903093
1 784 4.136339802816103
1 807 9.250089198042811
1 827 5.737539632712696
1 831 7.047919723597956
1 863 1.0830736538069097
1 871 8.841762096712035
1 895 7.381507524110526
1 1036 7.982444137909008
1 1061 2.438314362461411
1 1088 0.36762483805582447
1 1096 0.07427224959372647
1 1152 7.552163151084843
1 1168 7.2648022313598
1 1203 8.170578358963224
1 1252 8.42021722308045
1 1280 4.223828244996404
1 1281 1.16416083717375
1 1290 0.48085555481826137
1 1299 6.471239629489006
1 1306 0.5089701115437817
1 1308 7.083277597471417
1 1343 0.03910212818104997
1 1348 8.495935073110932
1 1444 2.499364795650326
1 1563 0.5391383673938888
1 1687 0.5755259219151976
1 1853 0.8376121929306268
1 2049 2.4571111072866003
1 2058 7.150435756367546
1 2059 7.428474807826783
1 2066 6.0270302923647705
1 2067 3.55407597694563
1 2071 3.566704104733941
1 2080 1.4885560422758126
1 2137 5.914413144560964
1 2144 0.5451724821131632
1 2155 5.109649318113095
1 2191 9.711498747416714
1 2224 8.265962750753442
1 2238 7.077195074627957
1 2247 5.116430451419779
1 2287 6.192569070944291
1 2319 1.8936360750146974
1 2339 3.7444324369072026
1 2343 2.5721990663226855
1 2379 5.306633975216145
1 2383 1.6805439566447744
1 2403 7.73482421738592
1 2434 4.509764401858423
1 2499 2.458471926000778
1 2542 8.8367747957894
1 2560 2.394515344108792
1 2567 3.4342083991251537
