2048 41943
0 1 4.998963420802131
0 2 3.608134558087299
0 3 6.595594519954512
0 4 0.8294755344970683
0 5 9.44122908749644
0 6 9.122608248887675
0 7 2.307724172998311
0 8 0.08322763466715233
0 9 8.87889771755295
0 10 1.5684961483633186
0 12 0.9186650146180364
0 16 9.662412488298568
0 18 4.58599367467364
0 20 3.5606825271131335
0 23 1.723803985621447
0 24 9.884562569498472
0 25 7.697185408836819
0 27 3.0642077364731266
0 29 2.1603712727054725
0 30 6.583753164406926
0 32 8.886364181476104
0 33 4.2980555846263355
0 34 6.590918224243064
0 35 6.8713772918596225
0 36 8.871608671976963
0 40 4.937529520114083
0 41 9.380093759379683
0 42 0.23151368965141028
0 44 3.419583442677616
0 48 8.220824687921057
0 49 2.9462084092634324
0 50 9.643900512390939
0 54 2.031858436816989
0 57 4.799655523133305
0 58 5.309580606285122
0 60 1.8753510674367735
0 64 7.7632288070103215
0 65 1.3962329962883668
0 66 2.1918817021488337
0 68 6.404374779903163
0 69 0.09616165765572227
0 70 7.810819559684948
0 72 8.228337261054584
0 74 8.823729818778483
0 76 3.0426153484216356
0 80 0.42272010677581906
0 81 2.0724164533938105
0 82 7.549936294323681
0 85 8.219569498309616
0 86 5.721646318075658
0 88 6.192593394975713
0 89 2.165585449624926
0 90 8.232569840235671
0 92 1.1432109567591853
0 98 4.532234106011547
0 99 8.621255858694886
0 100 0.48071284895318533
0 102 1.4745864643705264
0 104 0.3691292258779233
0 105 4.223229786381352
0 110 5.785249188164661
0 112 3.3752124987748644
0 113 7.598256244725283
0 116 8.646577724329369
0 118 6.811935492041337
0 119 0.8989704027571432
0 120 4.364698938135541
0 121 7.606642250843857
0 127 5.969397660336587
0 128 4.6611235072776855
0 129 7.246725644649934
0 130 3.3783985728482824
0 131 3.8585378425526073
0 132 1.100948961477809
0 133 1.9711637069512078
0 135 8.615322420099783
0 137 7.385791599388907
0 143 9.394066599973705
0 146 8.837913797192991
0 147 5.318315033749036
0 148 8.876963540596154
0 153 4.846147941183005
0 155 7.7348088246537126
0 157 3.2105693847002903
0 159 3.2726985872719894
0 160 3.6812511634614276
0 161 3.689261485944879
0 162 1.62431706310873
0 163 4.763081720975567
0 165 4.655026250307399
0 167 8.856889171700079
0 169 9.011646237607708
0 173 4.19304288876172
0 179 3.798386827396074
0 180 1.869308896905456
0 188 3.2641110682428542
0 191 6.041897928289236
0 193 4.496457362021957
0 194 3.0586105486252246
0 196 0.6316435027766576
0 197 3.200251249173313
0 199 5.256561368851233
0 200 5.914758129791091
0 203 7.5770358345038
0 205 0.21517707979528233
0 207 2.853793912823157
0 208 4.754230251866861
0 209 4.294455039632574
0 230 7.121706619778408
0 231 5.487270650668039
0 232 7.285742596451028
0 243 0.2281097673494592
0 255 9.339022151856945
0 256 0.4791670000581072
0 257 7.296172865406499
0 258 8.221233853489023
0 259 5.431087369163004
0 260 7.076855259319638
0 261 8.001124206389793
0 262 7.276149728337411
0 263 1.6330047125098812
0 264 5.957979074729124
0 265 0.9380317867768517
0 266 4.45777412125809
0 268 6.912061363672719
0 270 6.044071710303308
0 271 7.752847620290142
0 272 2.9473667023815118
0 273 4.878084277136527
0 274 2.13005598905513
0 275 6.421841326496461
0 279 7.59710279763763
