1024 10485
0 1 7.02468557453755
0 2 2.3122916151524784
0 3 9.491996806507665
0 4 3.589302972659304
0 5 2.7821749967251455
0 9 8.412684438061943
0 10 1.504540951264668
0 12 9.546479072389513
0 16 9.10961574803855
0 17 7.389372019851205
0 18 6.786524918656813
0 19 1.0720526856039347
0 22 4.068335360766104
0 23 3.083134904621816
0 24 0.08072714327858055
0 28 0.44081731629248444
0 29 0.14902322807224033
0 31 8.7835763284406
0 32 5.732204784417695
0 39 6.539129989317422
0 45 3.1953031617476513
0 48 3.3399885914314087
0 52 5.258207024871403
0 56 1.3496876104622268
0 60 6.085580604438433
0 63 5.5234015762290225
0 64 6.087276747009829
0 65 3.0408672710673077
0 70 0.13535068083383894
0 71 1.93835451499896
0 72 4.80978467271827
0 75 2.9744047459701415
0 76 4.7589962228965295
0 80 5.185924719641331
0 85 9.696126602735688
0 86 6.333297001049233
0 95 4.304169929622094
0 102 2.8767651641708456
0 110 7.917969922927802
0 116 4.786854184694789
0 119 4.2008991615061
0 127 7.152507027047693
0 130 4.584882674487832
0 131 7.893266207238487
0 136 0.9371508820383279
0 137 1.1261938759561607
0 138 3.28604895527414
0 140 7.4092342142417955
0 144 6.054427390766179
0 145 5.0681012094140385
0 154 4.818929272288075
0 159 3.0366140114136195
0 176 5.705107686037515
0 179 7.705670036068252
0 181 5.376334528352945
0 191 9.613017477858843
0 193 1.572410763059594
0 204 0.7998194358542188
0 206 4.220312595754162
0 216 2.6195848287546797
0 228 7.2390428866781775
0 248 0.08836256817668975
0 253 0.7593357275617474
0 255 2.2674278050526664
0 257 4.174491365301898
0 259 1.6690704728687888
0 260 4.583552646203603
0 262 9.68283024324138
0 263 5.172886608618952
0 269 5.2808785833924174
0 271 8.481976911840649
0 273 8.80949051479846
0 275 0.38623052738929853
0 276 5.368495094330553
0 281 5.579258319075716
0 287 7.331475557546369
0 288 5.344060488904566
0 296 2.855983529769568
0 297 9.918985855380361
0 309 5.774728411899766
0 312 7.658782584804507
0 320 7.772063356794736
0 324 0.4722958121124654
0 326 6.787541479843871
0 362 0.7249242628811492
0 384 3.2393141452902707
0 386 4.513400395057915
0 392 9.23803408206093
0 394 8.299783790707897
0 402 7.821995126609823
0 415 2.4360212322251904
0 435 8.828632217786016
0 439 8.935509335588927
0 441 0.9727105607722875
0 446 4.429374640239418
0 449 0.47659339683778335
0 456 3.3680613636800807
0 469 5.57082275578624
0 483 5.290516674209183
0 512 1.188257184535254
0 514 4.540676410130434
0 516 6.879729154560645
0 519 9.997152809157203
0 520 8.784006456305857
0 522 4.288669301576666
0 524 4.243902933174805
0 527 6.024781664305805
0 530 0.6512304130426594
0 531 2.757766947710909
0 532 3.8119012463246573
0 540 0.7584388928905939
0 547 3.909985784483494
0 551 3.661340798463104
0 565 0.29789946837174064
0 575 9.182938373115132
0 583 5.545453889611965
0 588 5.187553476343458
0 605 3.0893198156526127
0 609 7.660416596887272
0 617 5.989818435289749
